# fleet rung2 formation=V w_form=0.3 v=0.250
t,gt_x1,gt_y1,estpx1,estpy1,dx1,dy1,obsvx1,obsvy1,x0vx1,x0vy1,tgt1x1,tgt1y1,seed1,cmd1,ksend1,slotx1,sloty1,gt_x2,gt_y2,estpx2,estpy2,dx2,dy2,obsvx2,obsvy2,x0vx2,x0vy2,tgt1x2,tgt1y2,seed2,cmd2,ksend2,slotx2,sloty2,gt_x3,gt_y3,estpx3,estpy3,dx3,dy3,obsvx3,obsvy3,x0vx3,x0vy3,tgt1x3,tgt1y3,seed3,cmd3,ksend3,slotx3,sloty3
74.0040,1.99175,-0.00154,-0.01002,-0.00121,-2.00177,0.00033,-0.00812,0.00571,-0.00812,0.00571,-0.01191,-0.00132,0.01721,0.01721,10.00000,2.00000,0.00000,1.11303,0.98305,-0.00965,-0.00272,-1.12268,-0.98577,-0.00785,0.00492,-0.00785,0.00492,-0.01026,-0.00439,0.02351,-0.09649,10.00000,1.30000,0.50000,1.17759,-1.02053,-0.00848,0.00068,-1.18608,1.02121,-0.00484,0.00596,-0.00484,0.00596,-0.00934,0.00434,0.03301,0.15301,10.00000,1.30000,-0.50000
74.1040,1.99064,-0.00133,-0.01102,-0.00106,-2.00166,0.00027,-0.00806,-0.00327,-0.00811,0.00346,-0.01256,-0.00152,0.01619,0.01721,10.00000,2.00000,0.00000,1.11217,0.98322,-0.01030,-0.00268,-1.12246,-0.98590,0.00528,-0.00660,-0.00457,0.00204,-0.01013,-0.00449,0.02055,-0.09945,10.00000,1.30000,0.50000,1.17680,-1.02011,-0.00921,0.00116,-1.18601,1.02126,-0.00956,0.00943,-0.00602,0.00683,-0.00972,0.00498,0.03758,0.15758,10.00000,1.30000,-0.50000
74.2040,1.98924,-0.00208,-0.00803,-0.00154,-1.99727,0.00054,-0.01162,-0.01696,-0.00898,-0.00164,-0.00952,-0.00252,0.01451,0.01721,10.00000,2.00000,0.00000,1.11442,0.98057,-0.00589,-0.00521,-1.12031,-0.98579,0.02703,-0.02779,0.00333,-0.00542,-0.00483,-0.00762,-0.08126,-0.20126,10.00000,1.30000,0.50000,1.17724,-1.01537,-0.00930,0.00341,-1.18655,1.01878,0.00912,0.05377,-0.00223,0.01856,-0.00928,0.00825,0.13132,0.25132,10.00000,1.30000,-0.50000
74.3020,1.98547,-0.00499,-0.01126,-0.00412,-1.99673,0.00087,-0.02408,-0.02621,-0.01276,-0.00778,-0.01299,-0.00562,0.00358,0.01721,10.00000,2.00000,0.00000,1.11569,0.97548,-0.00505,-0.00972,-1.12074,-0.98520,0.02311,-0.03747,0.00828,-0.01343,-0.00346,-0.01277,-0.22096,-0.34096,10.00000,1.30000,0.50000,1.18054,-1.00556,-0.00602,0.01212,-1.18656,1.01768,0.02630,0.07912,0.00490,0.03370,-0.00532,0.01816,0.24786,0.36786,10.00000,1.30000,-0.50000
74.4020,1.98177,-0.00827,-0.01472,-0.00714,-1.99650,0.00112,-0.02344,-0.03120,-0.01543,-0.01364,-0.01662,-0.00912,-0.00729,0.01721,10.00000,2.00000,0.00000,1.11792,0.96967,-0.00353,-0.01502,-1.12145,-0.98469,0.04130,-0.05376,0.01653,-0.02351,-0.00117,-0.01889,-0.34134,-0.46134,10.00000,1.30000,0.50000,1.18235,-0.99378,-0.00424,0.02307,-1.18658,1.01685,0.01410,0.11496,0.00720,0.05402,-0.00333,0.03070,0.33848,0.45848,10.00000,1.30000,-0.50000
74.5020,1.97893,-0.01238,-0.01715,-0.01083,-1.99608,0.00156,-0.02601,-0.04104,-0.01807,-0.02049,-0.01922,-0.01334,0.00031,0.01721,10.00000,2.00000,0.00000,1.12268,0.96126,-0.00010,-0.02192,-1.12279,-0.98318,0.04155,-0.06338,0.02279,-0.03348,0.00280,-0.02661,-0.46506,-0.58506,10.00000,1.30000,0.50000,1.18437,-0.97913,-0.00239,0.03482,-1.18676,1.01395,0.02231,0.09976,0.01098,0.06545,-0.00117,0.04320,0.46490,0.58490,10.00000,1.30000,-0.50000
74.6020,1.97615,-0.01628,-0.01968,-0.01428,-1.99583,0.00200,-0.03097,-0.03677,-0.02130,-0.02456,-0.02199,-0.01707,0.01445,0.01721,10.00000,2.00000,0.00000,1.12766,0.95280,0.00466,-0.02970,-1.12300,-0.98250,0.05121,-0.06158,0.02989,-0.04050,0.00816,-0.03494,-0.58611,-0.68200,10.00000,1.30000,0.50000,1.18698,-0.96481,-0.00027,0.04775,-1.18725,1.01255,0.02767,0.11675,0.01515,0.07828,0.00127,0.05697,0.60757,0.72757,10.00000,1.30000,-0.50000
74.7020,1.97211,-0.02054,-0.02332,-0.01817,-1.99543,0.00237,-0.03713,-0.04566,-0.02526,-0.02983,-0.02591,-0.02134,0.02236,0.01721,10.00000,2.00000,0.00000,1.13294,0.94523,0.00970,-0.03683,-1.12324,-0.98206,0.06962,-0.06682,0.03982,-0.04708,0.01404,-0.04259,-0.69426,-0.76698,10.00000,1.30000,0.50000,1.18952,-0.94849,0.00172,0.06283,-1.18780,1.01132,0.03653,0.16439,0.02050,0.09981,0.00369,0.07364,0.74939,0.86939,10.00000,1.30000,-0.50000
74.8020,1.96798,-0.02562,-0.02501,-0.02179,-1.99299,0.00384,-0.02571,-0.03496,-0.02537,-0.03111,-0.02753,-0.02497,0.02355,0.01721,10.00000,2.00000,0.00000,1.14013,0.93729,0.01609,-0.04304,-1.12405,-0.98033,0.06097,-0.05759,0.04511,-0.04971,0.02083,-0.04900,-0.77016,-0.83008,10.00000,1.30000,0.50000,1.19342,-0.92963,0.00444,0.07714,-1.18899,1.00677,0.03643,0.11730,0.02448,0.10418,0.00668,0.08808,0.87306,0.99306,10.00000,1.30000,-0.50000
74.9020,1.96447,-0.03022,-0.02818,-0.02596,-1.99265,0.00426,-0.02377,-0.03923,-0.02497,-0.03314,-0.03059,-0.02923,0.01695,0.01721,10.00000,2.00000,0.00000,1.14593,0.92943,0.02111,-0.05008,-1.12482,-0.97950,0.05414,-0.07305,0.04737,-0.05555,0.02599,-0.05651,-0.82701,-0.87995,10.00000,1.30000,0.50000,1.19797,-0.91467,0.00864,0.09107,-1.18933,1.00575,0.05567,0.11233,0.03228,0.10622,0.01148,0.10202,0.97594,1.07745,10.00000,1.30000,-0.50000
